Main document: ./docs/334 	 Potential Duplicates:[u'./docs/8296']
Main document: ./docs/1525 	 Potential Duplicates:[u'./docs/1535']
Main document: ./docs/19673 	 Potential Duplicates:[u'./docs/285']
Main document: ./docs/210 	 Potential Duplicates:[u'./docs/26889']
Main document: ./docs/302 	 Potential Duplicates:[u'./docs/83666']
Main document: ./docs/323 	 Potential Duplicates:[u'./docs/81680']
Main document: ./docs/342 	 Potential Duplicates:[u'./docs/82779']
Main document: ./docs/38074 	 Potential Duplicates:[u'./docs/485']
Main document: ./docs/4953 	 Potential Duplicates:[u'./docs/7395']
Main document: ./docs/5137 	 Potential Duplicates:[u'./docs/6234']
Main document: ./docs/5155 	 Potential Duplicates:[u'./docs/6797']
Main document: ./docs/5204 	 Potential Duplicates:[u'./docs/7533']
Main document: ./docs/5253 	 Potential Duplicates:[u'./docs/5255']
Main document: ./docs/5372 	 Potential Duplicates:[u'./docs/5505']
Main document: ./docs/5432 	 Potential Duplicates:[u'./docs/5518']
Main document: ./docs/6013 	 Potential Duplicates:[u'./docs/6014']
Main document: ./docs/6701 	 Potential Duplicates:[u'./docs/6717']
Main document: ./docs/6898 	 Potential Duplicates:[u'./docs/6905']
Main document: ./docs/8113 	 Potential Duplicates:[u'./docs/9973']
Main document: ./docs/8755 	 Potential Duplicates:[u'./docs/8756']
Main document: ./docs/8999 	 Potential Duplicates:[u'./docs/9000']
Main document: ./docs/9164 	 Potential Duplicates:[u'./docs/9189']
Main document: ./docs/9474 	 Potential Duplicates:[u'./docs/9475']
Main document: ./docs/9899 	 Potential Duplicates:[u'./docs/9900']
Main document: ./docs/129513 	 Potential Duplicates:[u'./docs/546']
Main document: ./docs/133172 	 Potential Duplicates:[u'./docs/297']
Main document: ./docs/30250 	 Potential Duplicates:[u'./docs/8426']
Main document: ./docs/3148 	 Potential Duplicates:[u'./docs/51452']
Main document: ./docs/6732 	 Potential Duplicates:[u'./docs/89702']
Main document: ./docs/7556 	 Potential Duplicates:[u'./docs/87192']
Main document: ./docs/78011 	 Potential Duplicates:[u'./docs/9146']
Main document: ./docs/88465 	 Potential Duplicates:[u'./docs/9601']
Main document: ./docs/9119 	 Potential Duplicates:[u'./docs/98431']
Main document: ./docs/91281 	 Potential Duplicates:[u'./docs/9146']
Main document: ./docs/92656 	 Potential Duplicates:[u'./docs/9767']
Main document: ./docs/9288 	 Potential Duplicates:[u'./docs/96667']
Main document: ./docs/11392 	 Potential Duplicates:[u'./docs/40515']
Main document: ./docs/11975 	 Potential Duplicates:[u'./docs/77944']
Main document: ./docs/12179 	 Potential Duplicates:[u'./docs/12180']
Main document: ./docs/125014 	 Potential Duplicates:[u'./docs/7574']
Main document: ./docs/12537 	 Potential Duplicates:[u'./docs/35389']
Main document: ./docs/12662 	 Potential Duplicates:[u'./docs/12663']
Main document: ./docs/13033 	 Potential Duplicates:[u'./docs/98157']
Main document: ./docs/13218 	 Potential Duplicates:[u'./docs/14964']
Main document: ./docs/13417 	 Potential Duplicates:[u'./docs/96506']
Main document: ./docs/13723 	 Potential Duplicates:[u'./docs/97731']
Main document: ./docs/14109 	 Potential Duplicates:[u'./docs/14111']
Main document: ./docs/14242 	 Potential Duplicates:[u'./docs/87382']
Main document: ./docs/14302 	 Potential Duplicates:[u'./docs/90478']
Main document: ./docs/14521 	 Potential Duplicates:[u'./docs/27676']
Main document: ./docs/152974 	 Potential Duplicates:[u'./docs/5813']
Main document: ./docs/15408 	 Potential Duplicates:[u'./docs/97922']
Main document: ./docs/15745 	 Potential Duplicates:[u'./docs/75324']
Main document: ./docs/16255 	 Potential Duplicates:[u'./docs/17695']
Main document: ./docs/16975 	 Potential Duplicates:[u'./docs/16980']
Main document: ./docs/17144 	 Potential Duplicates:[u'./docs/35282']
Main document: ./docs/17339 	 Potential Duplicates:[u'./docs/17553']
Main document: ./docs/17420 	 Potential Duplicates:[u'./docs/79958']
Main document: ./docs/17864 	 Potential Duplicates:[u'./docs/60455']
Main document: ./docs/18141 	 Potential Duplicates:[u'./docs/91334']
Main document: ./docs/18857 	 Potential Duplicates:[u'./docs/93920']
Main document: ./docs/18949 	 Potential Duplicates:[u'./docs/64958']
Main document: ./docs/18981 	 Potential Duplicates:[u'./docs/79658']
Main document: ./docs/19463 	 Potential Duplicates:[u'./docs/99348']
Main document: ./docs/19546 	 Potential Duplicates:[u'./docs/60355']
Main document: ./docs/19988 	 Potential Duplicates:[u'./docs/58121']
